Item Name,Item Type,Item Sub Type,Quantity, Unit measure,Cost per unit,Total amount paid,MRP,Date,Shop Address,Shopper Name,In-Store,Card Used,Item returned
Mini Melon,Grocery,Fruits,1,NA,NA,$7.99,,03/09/2025,Costco Wholesale,Hermione Granger,Yes,citi bank,No
Organic Garlic,Grocery,Vegetable,1,NA,NA,$8.99,,03/09/2025,Costco Wholesale,Hermione Granger,Yes,citi bank,No
Organic Tov,Grocery,Fruit,1,NA,NA,$9.99,,03/09/2025,Costco Wholesale,Hermione Granger,Yes,citi bank,No
Neut Rainbath,Toiletries,Body soap,1,NA,NA,$19.99,$14.99,03/09/2025,Costco Wholesale,Hermione Granger,Yes,citi bank,No
Salmon,Groceries,Seafood,1,NA,NA,$31.29,,03/09/2025,Costco Wholesale,Hermione Granger,Yes,citi bank,No
Honey,Groceries,Syrup,1,NA,NA,$12.99,,03/09/2025,Costco Wholesale,Hermione Granger,Yes,citi bank,No
Basil Pesto ,Groceries,Paste,1,NA,NA,$9.49,,03/09/2025,Costco Wholesale,Hermione Granger,Yes,citi bank,No
Potatoes,Groceries,vegetable,10,lb,NA,$5.49,,03/09/2025,Costco Wholesale,Hermione Granger,Yes,citi bank,No
Mung Daal,Groceries,Daal,1,NA,NA,$13.49,$10.79,03/09/2025,Costco Wholesale,Hermione Granger,Yes,citi bank,No
Tax : ,,,,,,$1.54,,,,,,,
,,,,,,,,,,,,,
Gold atta,Groceries,Grain,10,lb,NA,$10.99,,03/10/2025,Coconut Hill,,Yes,citi bank,No
Apple Gala,Groceries,Fruit,4.24,lb,$1.49,$6.32,,03/10/2025,Coconut Hill,,Yes,citi bank,No
Basmati Rice ,Groceries,Wheat,10,lb,NA,$14.99,,03/10/2025,Coconut Hill,,Yes,citi bank,No
Bhujiya (Plain),Groceries,Snacks,400,g,NA,$3.49,,03/10/2025,Coconut Hill,,Yes,citi bank,No
Tax : ,,,,,,$0.00,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Cat & Jack,Apperal,Clothes,1,NA,NA,$1.80,,,,,,,
Cat & Jack,Apperal,Clothes,1,NA,NA,$1.80,,,,,,,
Cat & Jack,Apperal,Clothes,1,NA,NA,$14.00,,,,,,,
Cat & Jack,Apperal,Clothes,1,NA,NA,$5.00,,,,,,,
Cat & Jack,Apperal,Clothes,1,NA,NA,$5.00,,,,,,,
Cat & Jack,Apperal,Clothes,1,NA,NA,$14.00,,,,,,,
Cat & Jack,Apperal,Clothes,1,NA,NA,$14.00,,,,,,,
Cat & Jack,Apperal,Clothes,1,NA,NA,$6.00,,,,,,,
Cat & Jack,Apperal,Clothes,1,NA,NA,$22.00,,,,,,,
